ETF,Month,Low_Date,Low,Peak_Date,Peak,Rebound_%,Days_Between_Low_and_Peak,Multi_Peak_Days,Is_Multi_Day_Peak,10D_Low_Before_Peak,Was_Peak_in_Prior_Month
ICSH,2023-01,2023-01-17,50.18,2023-01-31,50.29,0.219,14,1,False,50.18,False
ICSH,2023-02,2023-02-14,50.13,2023-02-28,50.2,0.14,14,2,True,50.13,False
ICSH,2023-03,2023-03-09,50.09,2023-03-23,50.27,0.359,14,1,False,50.09,False
ICSH,2023-04,2023-04-17,50.19,2023-04-28,50.32,0.259,11,1,False,50.19,False
ICSH,2023-05,2023-05-26,50.2,2023-05-31,50.31,0.219,5,1,False,50.2,False
ICSH,2023-06,2023-06-15,50.2,2023-06-30,50.3,0.199,15,1,False,50.2,False
ICSH,2023-07,2023-07-17,50.23,2023-07-31,50.35,0.239,14,1,False,50.23,False
ICSH,2023-08,2023-08-18,50.27,2023-08-31,50.39,0.239,13,1,False,50.27,False
ICSH,2023-09,2023-09-15,50.27,2023-09-29,50.38,0.219,14,1,False,50.27,False
ICSH,2023-10,2023-10-18,50.28,2023-10-31,50.4,0.239,13,1,False,50.28,False
ICSH,2023-11,2023-11-15,50.33,2023-11-30,50.48,0.298,15,2,True,50.33,False
ICSH,2023-12,2023-12-04,50.3,2023-12-13,50.41,0.219,9,1,False,50.3,False
ICSH,2024-01,2024-01-17,50.48,2024-01-31,50.6,0.238,14,1,False,50.48,False
ICSH,2024-02,2024-02-14,50.43,2024-02-29,50.55,0.238,15,1,False,50.43,False
ICSH,2024-03,2024-03-14,50.43,2024-03-28,50.56,0.258,14,1,False,50.43,False
ICSH,2024-04,2024-04-16,50.4,2024-04-30,50.5,0.198,14,2,True,50.4,False
ICSH,2024-05,2024-05-16,50.45,2024-05-31,50.55,0.198,15,1,False,50.45,False
ICSH,2024-06,2024-06-13,50.44,2024-06-28,50.53,0.178,15,1,False,50.44,False
ICSH,2024-07,2024-07-17,50.52,2024-07-31,50.64,0.238,14,1,False,50.52,False
ICSH,2024-08,2024-08-16,50.59,2024-08-30,50.71,0.237,14,1,False,50.59,False
ICSH,2024-09,2024-09-13,50.64,2024-09-27,50.75,0.217,14,1,False,50.64,False
ICSH,2024-10,2024-10-17,50.61,2024-10-31,50.68,0.138,14,2,True,50.61,False
ICSH,2024-11,2024-11-14,50.52,2024-11-29,50.65,0.257,15,1,False,50.52,False
ICSH,2024-12,2024-12-03,50.45,2024-12-16,50.59,0.278,13,1,False,50.45,False
ICSH,2025-01,2025-01-16,50.53,2025-01-31,50.65,0.237,15,1,False,50.53,False
ICSH,2025-02,2025-02-13,50.54,2025-02-28,50.68,0.277,15,1,False,50.54,False
ICSH,2025-03,2025-03-18,50.56,2025-03-31,50.7,0.277,13,1,False,50.56,False
ICSH,2025-04,2025-04-15,50.53,2025-04-30,50.69,0.317,15,1,False,50.53,False
ICSH,2025-05,2025-05-15,50.54,2025-05-30,50.67,0.257,15,1,False,50.54,False
ICSH,2025-06,2025-06-02,50.48,2025-06-10,50.52,0.079,8,2,True,50.48,False
