Month,ICSH_Peak_Date,ICSH_Peak,ICSH_Low_Date,ICSH_Low,Drop_%,Days_Between_Peak_and_Low,Multi_Low_Days,Is_Multi_Day_Low,10D_High_Before_Peak,10D_Low_After_Low,Was_Low_in_Next_Month
2023-01,2023-01-31,50.29,2023-02-01,50.11,-0.358,1,1,False,50.28,50.1,True
2023-02,2023-02-27,50.2,2023-03-01,50.04,-0.319,2,2,True,50.19,50.04,True
2023-03,2023-03-23,50.27,2023-03-28,50.2,-0.139,5,1,False,50.22,50.1,False
2023-04,2023-04-28,50.32,2023-05-01,50.14,-0.358,3,1,False,50.3,50.19,True
2023-05,2023-05-31,50.31,2023-06-02,50.08,-0.457,2,1,False,50.27,50.11,True
2023-06,2023-06-30,50.3,2023-07-05,50.1,-0.398,5,1,False,50.29,50.11,True
2023-07,2023-07-31,50.35,2023-08-01,50.13,-0.437,1,1,False,50.34,50.14,True
2023-08,2023-08-31,50.39,2023-09-01,50.17,-0.437,1,1,False,50.37,50.19,True
2023-09,2023-09-29,50.38,2023-10-02,50.18,-0.397,3,1,False,50.36,50.21,True
2023-10,2023-10-31,50.4,2023-11-01,50.2,-0.397,1,1,False,50.39,50.21,True
2023-11,2023-11-29,50.48,2023-12-04,50.3,-0.357,5,1,False,50.46,50.22,True
2023-12,2023-12-13,50.41,2023-12-14,50.22,-0.377,1,2,True,50.36,50.22,False
2024-01,2024-01-31,50.6,2024-02-02,50.39,-0.415,2,1,False,50.58,50.4,True
2024-02,2024-02-29,50.55,2024-03-01,50.35,-0.396,1,2,True,50.53,50.35,True
2024-03,2024-03-28,50.56,2024-04-01,50.33,-0.455,4,1,False,50.55,50.35,True
2024-04,2024-04-29,50.5,2024-05-01,50.32,-0.356,2,1,False,50.49,50.35,True
2024-05,2024-05-31,50.55,2024-06-03,50.35,-0.396,3,1,False,50.53,50.36,True
2024-06,2024-06-28,50.53,2024-07-01,50.32,-0.416,3,1,False,50.52,50.35,True
2024-07,2024-07-31,50.64,2024-08-01,50.43,-0.415,1,1,False,50.63,50.49,True
2024-08,2024-08-30,50.71,2024-09-03,50.51,-0.394,4,1,False,50.7,50.54,True
2024-09,2024-09-27,50.75,2024-10-01,50.54,-0.414,4,2,True,50.73,50.53,True
2024-10,2024-10-29,50.68,2024-11-01,50.48,-0.395,3,1,False,50.67,50.48,True
2024-11,2024-11-29,50.65,2024-12-03,50.45,-0.395,4,1,False,50.63,50.48,True
2024-12,2024-12-16,50.59,2024-12-18,50.33,-0.514,2,1,False,50.55,50.36,False
2025-01,2025-01-31,50.65,2025-02-03,50.47,-0.355,3,1,False,50.63,50.5,True
2025-02,2025-02-28,50.68,2025-03-03,50.51,-0.335,3,1,False,50.66,50.53,True
2025-03,2025-03-31,50.7,2025-04-02,50.5,-0.394,2,1,False,50.66,50.5,True
2025-04,2025-04-30,50.69,2025-05-01,50.5,-0.375,1,2,True,50.67,50.5,True
2025-05,2025-05-30,50.67,2025-06-02,50.48,-0.375,3,1,False,50.66,50.49,True
2025-06,2025-06-04,50.51,2025-06-05,50.5,-0.02,1,1,False,50.67,,False
