Month,SGOV_Peak_Date,SGOV_Peak,SGOV_Low_Date,SGOV_Low,Drop_%,Days_Between_Peak_and_Low,Multi_Low_Days,Is_Multi_Day_Low,10D_High_Before_Peak,10D_Low_After_Low,Was_Low_in_Next_Month
2023-01,2023-01-30,100.46,2023-02-01,100.08,-0.378,2,1,False,100.43,100.13,True
2023-02,2023-02-28,100.43,2023-03-01,100.16,-0.269,1,1,False,100.41,100.21,True
2023-03,2023-03-31,100.58,2023-04-03,100.23,-0.348,3,1,False,100.57,100.25,True
2023-04,2023-04-27,100.56,2023-05-01,100.18,-0.378,4,1,False,100.53,100.2,True
2023-05,2023-05-30,100.59,2023-06-01,100.23,-0.358,2,2,True,100.57,100.23,True
2023-06,2023-06-29,100.63,2023-07-03,100.26,-0.368,4,1,False,100.59,100.27,True
2023-07,2023-07-28,100.62,2023-08-01,100.2,-0.417,4,1,False,100.6,100.23,True
2023-08,2023-08-31,100.67,2023-09-01,100.27,-0.397,1,1,False,100.62,100.28,True
2023-09,2023-09-29,100.67,2023-10-02,100.27,-0.397,3,1,False,100.64,100.28,True
2023-10,2023-10-31,100.7,2023-11-01,100.29,-0.407,1,1,False,100.68,100.33,True
2023-11,2023-11-30,100.73,2023-12-01,100.32,-0.407,1,1,False,100.7,100.33,True
2023-12,2023-12-13,100.45,2023-12-14,100.05,-0.398,1,1,False,100.44,100.06,False
2024-01,2024-01-30,100.71,2024-02-01,100.31,-0.397,2,1,False,100.68,100.32,True
2024-02,2024-02-29,100.7,2024-03-01,100.32,-0.377,1,1,False,100.67,100.33,True
2024-03,2024-03-28,100.71,2024-04-01,100.29,-0.417,4,1,False,100.7,100.31,True
2024-04,2024-04-30,100.7,2024-05-01,100.31,-0.387,1,1,False,100.69,100.35,True
2024-05,2024-05-31,100.75,2024-06-03,100.33,-0.417,3,1,False,100.71,100.35,True
2024-06,2024-06-28,100.71,2024-07-01,100.31,-0.397,3,1,False,100.67,100.32,True
2024-07,2024-07-31,100.72,2024-08-01,100.3,-0.417,1,1,False,100.71,100.35,True
2024-08,2024-08-30,100.74,2024-09-03,100.34,-0.397,4,1,False,100.69,100.35,True
2024-09,2024-09-27,100.72,2024-10-01,100.33,-0.387,4,2,True,100.68,100.33,True
2024-10,2024-10-31,100.7,2024-11-01,100.34,-0.357,1,1,False,100.68,100.35,True
2024-11,2024-11-29,100.68,2024-12-02,100.32,-0.358,3,1,False,100.64,100.33,True
2024-12,2024-12-16,100.51,2024-12-18,100.16,-0.348,2,1,False,100.5,100.18,False
2025-01,2025-01-31,100.68,2025-02-03,100.34,-0.338,3,1,False,100.66,100.36,True
2025-02,2025-02-28,100.65,2025-03-03,100.36,-0.288,3,1,False,100.63,100.37,True
2025-03,2025-03-28,100.67,2025-04-01,100.35,-0.318,4,1,False,100.64,100.36,True
2025-04,2025-04-30,100.69,2025-05-01,100.37,-0.318,1,1,False,100.66,100.4,True
2025-05,2025-05-30,100.71,2025-06-02,100.38,-0.328,3,1,False,100.68,100.39,True
