Month,SHV_Peak_Date,SHV_Peak,SHV_Low_Date,SHV_Low,Drop_%,Days_Between_Peak_and_Low,Multi_Low_Days,Is_Multi_Day_Low,10D_High_Before_Peak,10D_Low_After_Low,Was_Low_in_Next_Month
2023-01,2023-01-31,110.28,2023-02-01,109.94,-0.308,1,1,False,110.27,109.96,True
2023-02,2023-02-27,110.23,2023-03-01,109.96,-0.245,2,1,False,110.21,110.01,True
2023-03,2023-03-31,110.5,2023-04-03,110.1,-0.362,3,1,False,110.49,110.14,True
2023-04,2023-04-28,110.45,2023-05-01,110.04,-0.371,3,1,False,110.44,110.07,True
2023-05,2023-05-31,110.41,2023-06-01,110.0,-0.371,1,1,False,110.39,110.01,True
2023-06,2023-06-30,110.45,2023-07-03,110.01,-0.398,3,1,False,110.39,110.03,True
2023-07,2023-07-31,110.44,2023-08-01,109.99,-0.407,1,1,False,110.42,110.01,True
2023-08,2023-08-31,110.5,2023-09-01,110.07,-0.389,1,2,True,110.44,110.07,True
2023-09,2023-09-28,110.47,2023-10-02,110.03,-0.398,4,1,False,110.42,110.04,True
2023-10,2023-10-30,110.5,2023-11-01,110.07,-0.389,2,1,False,110.49,110.12,True
2023-11,2023-11-30,110.59,2023-12-01,110.14,-0.407,1,1,False,110.55,110.15,True
2023-12,2023-12-13,110.31,2023-12-14,109.86,-0.408,1,1,False,110.27,109.87,False
2024-01,2024-01-31,110.57,2024-02-02,110.14,-0.389,2,1,False,110.54,110.15,True
2024-02,2024-02-29,110.53,2024-03-01,110.11,-0.38,1,1,False,110.47,110.12,True
2024-03,2024-03-28,110.54,2024-04-01,110.07,-0.425,4,1,False,110.53,110.08,True
2024-04,2024-04-30,110.47,2024-05-01,110.04,-0.389,1,1,False,110.46,110.09,True
2024-05,2024-05-31,110.51,2024-06-03,110.06,-0.407,3,1,False,110.47,110.08,True
2024-06,2024-06-28,110.5,2024-07-01,110.05,-0.407,3,1,False,110.45,110.07,True
2024-07,2024-07-31,110.54,2024-08-01,110.08,-0.416,1,1,False,110.53,110.18,True
2024-08,2024-08-30,110.6,2024-09-03,110.16,-0.398,4,1,False,110.56,110.19,True
2024-09,2024-09-27,110.63,2024-10-01,110.2,-0.389,4,2,True,110.59,110.2,True
2024-10,2024-10-31,110.57,2024-11-01,110.15,-0.38,1,1,False,110.55,110.17,True
2024-11,2024-11-29,110.51,2024-12-02,110.11,-0.362,3,1,False,110.46,110.14,True
2024-12,2024-12-16,110.33,2024-12-18,109.92,-0.372,2,1,False,110.3,109.95,False
2025-01,2025-01-31,110.51,2025-02-03,110.12,-0.353,3,1,False,110.47,110.13,True
2025-02,2025-02-28,110.45,2025-03-03,110.11,-0.308,3,1,False,110.41,110.12,True
2025-03,2025-03-31,110.46,2025-04-01,110.1,-0.326,1,1,False,110.45,110.11,True
2025-04,2025-04-30,110.46,2025-05-01,110.1,-0.326,1,1,False,110.43,110.12,True
2025-05,2025-05-30,110.44,2025-06-02,110.06,-0.344,3,1,False,110.42,110.08,True
