Month,TFLO_Peak_Date,TFLO_Peak,TFLO_Low_Date,TFLO_Low,Drop_%,Days_Between_Peak_and_Low,Multi_Low_Days,Is_Multi_Day_Low,10D_High_Before_Peak,10D_Low_After_Low,Was_Low_in_Next_Month
2023-01,2023-01-27,50.56,2023-02-01,50.4,-0.316,5,1,False,50.55,50.4,True
2023-02,2023-02-27,50.56,2023-03-01,50.4,-0.316,2,1,False,50.55,50.42,True
2023-03,2023-03-31,50.59,2023-04-03,50.42,-0.336,3,1,False,50.58,50.43,True
2023-04,2023-04-28,50.63,2023-05-01,50.44,-0.375,3,2,True,50.62,50.44,True
2023-05,2023-05-30,50.65,2023-06-01,50.46,-0.375,2,2,True,50.62,50.46,True
2023-06,2023-06-30,50.67,2023-07-05,50.46,-0.414,5,1,False,50.65,50.5,True
2023-07,2023-07-27,50.67,2023-08-01,50.52,-0.296,5,1,False,50.63,50.53,True
2023-08,2023-08-31,50.74,2023-09-01,50.53,-0.414,1,1,False,50.72,50.54,True
2023-09,2023-09-29,50.74,2023-10-02,50.52,-0.434,3,1,False,50.73,50.54,True
2023-10,2023-10-31,50.75,2023-11-01,50.54,-0.414,1,2,True,50.74,50.54,True
2023-11,2023-11-30,50.75,2023-12-01,50.52,-0.453,1,2,True,50.73,50.52,True
2023-12,2023-12-12,50.58,2023-12-14,50.37,-0.415,2,1,False,50.56,50.38,False
2024-01,2024-01-31,50.7,2024-02-01,50.47,-0.454,1,1,False,50.69,50.49,True
2024-02,2024-02-29,50.7,2024-03-01,50.5,-0.394,1,2,True,50.68,50.5,True
2024-03,2024-03-27,50.69,2024-04-01,50.44,-0.493,5,1,False,50.67,50.46,True
2024-04,2024-04-29,50.68,2024-05-01,50.48,-0.395,2,1,False,50.67,50.5,True
2024-05,2024-05-31,50.7,2024-06-04,50.48,-0.434,4,1,False,50.69,50.49,True
2024-06,2024-06-28,50.66,2024-07-01,50.46,-0.395,3,1,False,50.65,50.47,True
2024-07,2024-07-30,50.66,2024-08-02,50.42,-0.474,3,1,False,50.65,50.43,True
2024-08,2024-08-30,50.63,2024-09-03,50.43,-0.395,4,1,False,50.62,50.44,True
2024-09,2024-09-30,50.6,2024-10-01,50.41,-0.375,1,1,False,50.59,50.42,True
2024-10,2024-10-30,50.61,2024-11-01,50.43,-0.356,2,1,False,50.6,50.44,True
2024-11,2024-11-27,50.63,2024-12-02,50.46,-0.336,5,1,False,50.61,50.46,True
2024-12,2024-12-17,50.57,2024-12-18,50.37,-0.395,1,1,False,50.55,50.38,False
2025-01,2025-01-31,50.68,2025-02-03,50.51,-0.335,3,2,True,50.66,50.51,True
2025-02,2025-02-28,50.67,2025-03-03,50.51,-0.316,3,3,True,50.65,50.51,True
2025-03,2025-03-31,50.66,2025-04-02,50.48,-0.355,2,1,False,50.65,50.49,True
2025-04,2025-04-28,50.64,2025-05-01,50.47,-0.336,3,1,False,50.63,50.49,True
2025-05,2025-05-30,50.66,2025-06-02,50.48,-0.355,3,1,False,50.65,50.5,True
